Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
71;5700162193;"Leiden Journal of International Law";journal;"09221565, 14789698";"Cambridge University Press";Yes;No;1,033;Q1;51;53;153;8335;366;143;2,63;157,26;50,79;0;United Kingdom;Western Europe;"Cambridge University Press";"1988-2026";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
72;50039;"Review of Policy Research";journal;"1541132X, 15411338";"Wiley-Blackwell Publishing Ltd";No;No;1,024;Q1;63;81;136;6056;597;118;4,82;74,77;46,58;4;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1981-1995, 1998-2026";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
73;5700164242;"Comparative European Politics";journal;"1740388X, 14724790";"Palgrave Macmillan Ltd.";No;No;1,015;Q1;47;52;122;3258;380;119;2,75;62,65;36,90;4;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2008-2026";"Political Science and International Relations (Q1)";"Social Sciences"
74;19700201448;"Critical Studies on Terrorism";journal;"17539153, 17539161";"Taylor and Francis Ltd.";No;No;1,005;Q1;41;38;124;3345;367;119;2,09;88,03;44,44;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2026";"Political Science and International Relations (Q1)";"Social Sciences"
75;23594;"World Economy";journal;"03785920, 14679701";"Wiley-Blackwell Publishing Ltd";No;No;1,000;Q1;90;121;440;6108;1597;439;3,61;50,48;31,70;7;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-2026";"Finance (Q1); Political Science and International Relations (Q1); Accounting (Q2); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
76;21100463834;"Territory, Politics, Governance";journal;"2162268X, 21622671";"Routledge";No;No;0,999;Q1;42;117;217;8150;846;204;3,74;69,66;35,35;10;United States;Northern America;"Routledge";"2013-2026";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
77;26364;"Journal of Strategic Studies";journal;"01402390, 1743937X";"Routledge";No;No;0,980;Q1;49;67;152;5008;382;137;2,64;74,75;20,69;10;United Kingdom;Western Europe;"Routledge";"1978-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
78;15136;"Information Society";journal;"01972243, 10876537";"Taylor and Francis Ltd.";No;No;0,978;Q1;95;20;72;1730;332;71;5,68;86,50;34,09;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-1990, 1992-2026";"Cultural Studies (Q1); Information Systems (Q1); Management Information Systems (Q1); Political Science and International Relations (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
79;5100152922;"Revista de Ciencia Politica";journal;"0718090X, 07161417";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,975;Q1;28;6;72;350;146;71;1,91;58,33;22,22;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2002, 2006-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
80;21100904307;"European Journal of International Security";journal;"20575637, 20575645";"Cambridge University Press";Yes;No;0,969;Q1;27;70;96;8947;273;96;2,47;127,81;30,51;11;United Kingdom;Western Europe;"Cambridge University Press";"2016-2026";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)";"Social Sciences"
81;25050;"American Journal of International Law";journal;"21617953, 00029300";"Cambridge University Press";Yes;No;0,964;Q1;102;38;144;4191;272;140;1,49;110,29;41,18;2;United States;Northern America;"Cambridge University Press";"1937, 1959, 1979, 1982, 1984, 1987-1988, 1992-1994, 1996-2026";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
