Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
35;23638;"Gender, Place and Culture";journal;"0966369X, 13600524";"Routledge";No;No;0,760;Q1;90;112;259;6746;698;253;2,43;60,23;79,51;0;United Kingdom;Western Europe;"Routledge";"1994-2026";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Demography (Q1); Gender Studies (Q1)";"Arts and Humanities; Social Sciences"
36;145733;"Sexualities";journal;"14617382, 13634607";"SAGE Publications Ltd";No;No;0,742;Q1;79;152;223;8926;652;208;2,86;58,72;65,73;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2026";"Anthropology (Q1); Gender Studies (Q1)";"Social Sciences"
37;5700161890;"International Feminist Journal of Politics";journal;"14684470, 14616742";"Routledge";No;No;0,718;Q1;66;58;148;3230;359;108;2,23;55,69;85,29;5;United Kingdom;Western Europe;"Routledge";"1999-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
38;5200152634;"Journal of Women and Minorities in Science and Engineering";journal;"10728325";"Begell House Inc.";No;No;0,712;Q1;35;24;87;1588;206;84;1,67;66,17;80,88;0;United States;Northern America;"Begell House Inc.";"1999, 2001, 2006-2026";"Engineering (miscellaneous) (Q1); Gender Studies (Q1)";"Engineering; Social Sciences"
39;19700170190;"Journal of Men's Studies";journal;"10608265, 19330251";"SAGE Publications Inc.";No;No;0,706;Q1;27;39;75;2550;227;73;2,37;65,38;49,44;1;United Kingdom;Western Europe;"SAGE Publications Inc.";"2008, 2012-2026";"Cultural Studies (Q1); Gender Studies (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
40;19900191744;"Equality, Diversity and Inclusion";journal;"17587093, 20407149";"Emerald Publishing";No;No;0,698;Q1;50;160;255;10350;897;245;2,90;64,69;64,43;0;United Kingdom;Western Europe;"Emerald Publishing";"1989-1994, 1996-2003, 2010-2026";"Cultural Studies (Q1); Gender Studies (Q1); Sociology and Political Science (Q1); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Social Sciences"
41;4700152759;"Journal of Bisexuality";journal;"15299716, 15299724";"Routledge";No;No;0,695;Q1;49;41;75;2694;160;73;2,05;65,71;64,95;0;United Kingdom;Western Europe;"Routledge";"2000-2026";"Cultural Studies (Q1); Gender Studies (Q1)";"Social Sciences"
42;21101091647;"LGBTQ+ Family: An Interdisciplinary Journal";journal;"27703371, 2770338X";"Routledge";No;No;0,687;Q1;50;56;81;3194;264;81;2,68;57,04;61,21;0;United Kingdom;Western Europe;"Routledge";"2022-2026";"Gender Studies (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
43;145138;"Sexuality and Culture";journal;"10955143";"Springer New York";No;No;0,676;Q1;48;210;364;13246;945;356;2,35;63,08;62,13;2;United States;Northern America;"Springer New York";"2003, 2005-2026";"Cultural Studies (Q1); Gender Studies (Q1)";"Social Sciences"
44;21101147579;"Feminist Anthropology";journal;"26437961";"John Wiley and Sons Inc";No;No;0,672;Q1;16;33;83;1544;186;74;1,96;46,79;90,63;0;United States;Northern America;"John Wiley and Sons Inc";"2020-2026";"Anthropology (Q1); Gender Studies (Q1)";"Social Sciences"
