Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
34;26261;"Review of International Political Economy";journal;"09692290, 14664526";"Routledge";No;No;2,508;Q1;100;99;266;8569;1910;261;6,35;86,56;40,76;10;United Kingdom;Western Europe;"Routledge";"1994-2026";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
35;18110;"Sociological Theory";journal;"07352751, 14679558";"SAGE Publications Ltd";No;No;2,457;Q1;101;20;50;2142;285;50;4,62;107,10;4,55;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1996-2026";"Sociology and Political Science (Q1)";"Social Sciences"
36;20444;"Legislative Studies Quarterly";journal;"03629805, 19399162";"Wiley-Blackwell";No;No;2,314;Q1;68;76;100;4796;341;100;3,33;63,11;38,96;2;United States;Northern America;"Wiley-Blackwell";"1996-2026";"Sociology and Political Science (Q1)";"Social Sciences"
37;26362;"Journal of Peace Research";journal;"00223433, 14603578";"SAGE Publications Ltd";No;No;2,298;Q1;136;159;200;10175;1036;199;5,22;63,99;37,32;19;United Kingdom;Western Europe;"SAGE Publications Ltd";"1964-2025";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)";"Social Sciences"
38;19400158483;"Social Issues and Policy Review";journal;"17512409, 17512395";"Wiley-Blackwell Publishing Ltd";No;No;2,273;Q1;58;8;24;1327;245;24;9,67;165,88;60,87;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2025";"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
39;19878;"Journal of European Public Policy";journal;"14664429, 13501763";"Routledge";No;No;2,219;Q1;146;222;400;15633;2863;373;7,28;70,42;34,99;32;United Kingdom;Western Europe;"Routledge";"1994-2026";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
40;17493;"Internet Research";journal;"10662243";"Emerald Group Publishing Ltd.";No;No;2,207;Q1;129;190;288;15493;3327;282;11,71;81,54;41,18;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1991-2026";"Communication (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
41;19251;"Work, Employment and Society";journal;"14698722, 09500170";"SAGE Publications Ltd";No;No;2,204;Q1;112;84;235;5206;1563;234;6,65;61,98;52,94;8;United Kingdom;Western Europe;"SAGE Publications Ltd";"1987-2026";"Accounting (Q1); Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
42;16926;"American Journal of Sociology";journal;"00029602, 15375390";"University of Chicago Press";No;No;2,193;Q1;225;30;118;3522;528;101;3,79;117,40;38,81;4;United States;Northern America;"University of Chicago Press";"1946-1950, 1964-2025";"Sociology and Political Science (Q1)";"Social Sciences"
43;23574;"Public Opinion Quarterly";journal;"0033362X, 15375331";"Oxford University Press";No;No;2,191;Q1;129;54;159;2901;711;157;4,35;53,72;41,67;0;United Kingdom;Western Europe;"Oxford University Press";"1937-2025";"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
