Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
56;21100898012;"SA Journal of Human Resource Management";journal;"2071078X, 16837584";"AOSIS (Pty) Ltd";Yes;No;0,367;Q2;23;118;194;7362;467;192;2,17;62,39;50,00;0;South Africa;Africa;"AOSIS (Pty) Ltd";"2018-2026";"Demography (Q2); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Social Sciences"
57;5600153223;"Migraciones";journal;"23410833, 11385774";"Universidad Pontificia Comillas de Madrid";Yes;Yes;0,363;Q2;15;26;80;1594;90;77;1,33;61,31;39,02;0;Spain;Western Europe;"Universidad Pontificia Comillas de Madrid";"2012-2026";"Cultural Studies (Q1); Demography (Q2)";"Social Sciences"
58;27440;"Revue Europeenne des Migrations Internationales";journal;"07650752, 17775418";"University of Poitiers";Yes;Yes;0,361;Q2;10;38;98;959;43;80;0,49;25,24;54,29;0;France;Western Europe;"University of Poitiers";"1985-1998, 2003, 2019-2025";"Anthropology (Q2); Demography (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)";"Social Sciences"
59;21100856464;"Settler Colonial Studies";journal;"18380743, 2201473X";"Taylor and Francis Ltd.";No;No;0,341;Q2;32;54;61;3787;71;53;1,16;70,13;56,67;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2021, 2023-2026";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Law (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
60;5700160329;"Migraciones Internacionales";journal;"16658906, 25940279";"El Colegio de la Frontera Norte";Yes;Yes;0,340;Q2;17;26;75;1415;69;73;0,82;54,42;51,16;0;Mexico;Latin America;"El Colegio de la Frontera Norte";"2009-2026";"Demography (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
61;27371;"Population and Societies";journal;"01847783";"Institut National d'Etudes Demographiques";No;No;0,327;Q2;18;11;32;61;40;32;1,14;5,55;42,86;1;France;Western Europe;"Institut National d'Etudes Demographiques";"1998-2003, 2009-2026";"Cultural Studies (Q1); Demography (Q2); Health (social science) (Q3)";"Social Sciences"
62;25354;"Canadian Journal of African Studies";journal;"19233051, 00083968";"Taylor and Francis Ltd.";No;No;0,324;Q2;20;31;91;1628;109;88;1,21;52,52;31,43;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1976, 1980, 1982-1996, 1999, 2001, 2011-2012, 2014-2026";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Sociology and Political Science (Q2); Development (Q3); Geography, Planning and Development (Q3)";"Arts and Humanities; Social Sciences"
63;4700152755;"Journal of Poverty";journal;"10875549, 15407608";"Routledge";No;No;0,317;Q2;33;62;117;2701;165;117;1,32;43,56;56,56;2;United States;Northern America;"Routledge";"1997-2026";"Demography (Q2); Sociology and Political Science (Q2)";"Social Sciences"
64;21100912225;"Journal of the Geographical Institute Jovan Cvijic SASA";journal;"03507599, 18212808";"Geographical Institute "Jovan Cviji" of the Serbian Academy of Sciences and Arts";Yes;Yes;0,312;Q2;13;29;80;1425;143;79;1,79;49,14;51,06;0;Serbia;Eastern Europe;"Geographical Institute "Jovan Cviji" of the Serbian Academy of Sciences and Arts";"2019-2026";"Demography (Q2); Earth-Surface Processes (Q3); Geography, Planning and Development (Q3); Geology (Q3); Tourism, Leisure and Hospitality Management (Q3)";"Business, Management and Accounting; Earth and Planetary Sciences; Social Sciences"
65;69336;"Names";journal;"00277738, 17562279";"University Library System, University of Pittsburgh";Yes;Yes;0,311;Q2;19;22;57;1065;67;55;0,78;48,41;51,85;0;United Kingdom;Western Europe;"University Library System, University of Pittsburgh";"1953-2025";"Demography (Q2); Linguistics and Language (Q2)";"Social Sciences"
